Date,Time,Device Name,IP Address,Status,Sent,Received,Lost,Response Time
2024-10-23,10:24:21,Truenas,192.168.70.195,Fail,1,0,1,
2024-10-23,10:24:34,Truenas,192.168.70.195,Success,1,1,0,
2024-10-23,10:24:48,Truenas,192.168.70.195,Fail,1,0,1,
2024-10-23,10:25:01,Truenas,192.168.70.195,Success,1,1,0,
2024-10-23,10:25:15,Truenas,192.168.70.195,Fail,1,0,1,
2024-10-23,10:25:25,Truenas,192.168.70.195,Success,1,1,0,3
2024-10-23,10:25:35,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:25:45,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:25:55,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:26:05,Truenas,192.168.70.195,Success,1,1,0,0
2024-10-23,10:26:15,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:26:25,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:26:35,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:26:45,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:26:55,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:27:05,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:27:15,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:27:25,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:27:35,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:27:45,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:27:55,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:28:05,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:28:15,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:28:25,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:28:35,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:28:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:28:56,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:29:06,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:29:16,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:29:26,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:29:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:29:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:29:56,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:30:06,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:30:16,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:30:26,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:30:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:30:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:30:56,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:31:06,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:31:16,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:31:26,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:31:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:31:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:31:56,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:32:06,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:32:16,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:32:26,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:32:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:32:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:32:56,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:33:06,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:33:16,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:33:26,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:33:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:33:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:33:56,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:34:06,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:34:16,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:34:26,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:34:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:34:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:34:56,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:35:06,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:35:16,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:35:26,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:35:37,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:35:47,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:35:57,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:36:07,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:36:17,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:36:27,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:36:37,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,10:36:47,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:11:49,Truenas,192.168.70.195,Success,1,1,0,2
2024-10-23,11:11:59,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:12:09,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:12:19,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:12:29,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:12:39,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:12:49,Truenas,192.168.70.195,Success,1,1,0,0
2024-10-23,11:12:59,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:13:09,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:13:20,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:13:30,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:13:40,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:13:50,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:14:00,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:14:10,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:14:20,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:14:30,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:14:40,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:14:50,Truenas,192.168.70.195,Success,1,1,0,2
2024-10-23,11:15:00,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:10,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:20,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:30,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:40,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:15:50,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:16:00,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:05,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:15,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:25,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:35:56,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:06,Truenas,192.168.70.195,Success,1,1,0,0
2024-10-23,11:36:16,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:26,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:36,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:46,Truenas,192.168.70.195,Success,1,1,0,1
2024-10-23,11:36:56,Truenas,192.168.70.195,Success,1,1,0,1
